#definition

# set
set V := C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 ; 	# customer set
set F := F11 F12 F13 
F11_1 F11_2 F11_3 F11_4 
F12_1 F12_2 F12_3 F12_4 
F13_1 F13_2 F13_3 F13_4 ;#recharging & battery swapping station
set D0 :=N0;
set Dσ :=Nσ;


# param
param CV := 50;    		# ECV fixed cost(Topic Given)
param C := 700;   		# ECV max load
param Q := 77.75; 		# ECV/BSV battery level
param h := 1;     		# ECV consumption

param CB := 60;    		# BSV fixed cost(Topic Given)
param Qplun := 5;       # BSV max load(battery)
param hplun := 1;     	# BSV consumption
param W :=155.50;		# BSV battery level

param Cde := 1;    		# ECV cost per unit distance
param Cdb := 1;    		# BSV cost per unit distance
param lamda := 3.00;	# battery swap time
param Cb :=8 ;  	    # battery swap cost(BSS/BSV)
param n :=10;	   		# number of customers
param g :=10.41 ;     	# the recharging rate of ECV 



# customer demend
param m :=
N0 0
C1 20
C2 10
C3 10
C4 20
C5 10
C6 20
C7 10
C8 10
C9 30
C10 40
F11 0
F12 0
F13 0
F11_1 0
F11_2 0
F11_3 0
F11_4 0
F12_1 0
F12_2 0
F12_3 0
F12_4 0
F13_1 0
F13_2 0
F13_3 0
F13_4 0
Nσ 0;

param e :=
N0 0
C1 2807
C2 2521
C3 2400
C4 1455
C5 708
C6 38
C7 508
C8 327
C9 1270
C10 2136
F11 0
F12 0
F13 0
F11_1 0
F11_2 0
F11_3 0
F11_4 0
F12_1 0
F12_2 0
F12_3 0
F12_4 0
F13_1 0
F13_2 0
F13_3 0
F13_4 0
Nσ 0;

param l :=
N0 3390
C1 3127
C2 2841
C3 2720
C4 1775
C5 1028
C6 358
C7 828
C8 647
C9 1590
C10 2456
F11 3390
F12 3390
F13 3390
F11_1 3390
F11_2 3390
F11_3 3390
F11_4 3390
F12_1 3390
F12_2 3390
F12_3 3390
F12_4 3390
F13_1 3390
F13_2 3390
F13_3 3390
F13_4 3390
Nσ 3390;

param s :=
N0 0
C1 90
C2 90
C3 90
C4 90
C5 90
C6 90
C7 90
C8 90
C9 90
C10 90
F11 0
F12 0
F13 0
F11_1 0
F11_2 0
F11_3 0
F11_4 0
F12_1 0
F12_2 0
F12_3 0
F12_4 0
F13_1 0
F13_2 0
F13_3 0
F13_4 0
Nσ 0;

param d : N0 C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 F11 F12 F13 F11_1 F11_2 F11_3 F11_4 F12_1 F12_2 F12_3 F12_4 F13_1 F13_2 F13_3 F13_4 Nσ :=
N0 0.0000 11.6619 23.3238 18.0278 45.2769 40.6079 15.8114 16.5529 33.5410 45.0000 36.0555 0.0000 36.2353 24.0208 0.0000 0.0000 0.0000 0.0000 36.2353 36.2353 36.2353 36.2353 24.0208 24.0208 24.0208 24.0208 0.0000
C1 11.6619 0.0000 11.6619 25.3180 55.0091 38.0132 12.0830 28.1780 29.0000 55.3263 24.4131 11.6619 31.8277 34.3657 11.6619 11.6619 11.6619 11.6619 31.8277 31.8277 31.8277 31.8277 34.3657 34.3657 34.3657 34.3657 11.6619
C2 23.3238 11.6619 0.0000 35.0571 65.3758 38.8973 17.7200 39.8246 28.7924 66.0984 12.8062 23.3238 31.3847 45.3542 23.3238 23.3238 23.3238 23.3238 31.3847 31.3847 31.3847 31.3847 45.3542 45.3542 45.3542 45.3542 23.3238
C3 18.0278 25.3180 35.0571 0.0000 30.4138 58.6003 33.5410 17.0000 51.4782 31.6228 46.0977 18.0278 54.2033 12.7279 18.0278 18.0278 18.0278 18.0278 54.2033 54.2033 54.2033 54.2033 12.7279 12.7279 12.7279 12.7279 18.0278
C4 45.2769 55.0091 65.3758 30.4138 0.0000 82.6378 60.8276 32.3110 77.6209 5.0000 76.4853 45.2769 80.0812 21.3776 45.2769 45.2769 45.2769 45.2769 80.0812 80.0812 80.0812 80.0812 21.3776 21.3776 21.3776 21.3776 45.2769
