#definition

# set
set V := C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 ; 	# customer set
set F := F11 F12 F13 F14 F15
F11_1 F11_2 F11_3 F11_4 
F12_1 F12_2 F12_3 F12_4 
F13_1 F13_2 F13_3 F13_4 
F14_1 F14_2 F14_3 F14_4 
F15_1 F15_2 F15_3 F15_4  ;#recharging & battery swapping station
set D0 :=N0;
set Dσ :=Nσ;


# param
param CV := 200;    		# ECV fixed cost(Topic Given)
param C := 1000;   		# ECV max load
param Q := 60.63; 		# ECV/BSV battery level
param h := 1;     		# ECV consumption

param CB := 267;    		# BSV fixed cost(Topic Given)
param Qplun := 5;       # BSV max load(battery)
param hplun := 1;     	# BSV consumption
param W :=121.26;		# BSV battery level

param Ct := 10;    		# travel cost
param Cr := 100;    		# recharging cost
param lamda := 0.00;	# battery swap time
param Cb;  	    # battery swap cost(BSS/BSV)
param n :=10;	   		# number of customers
param g :=1.47 ;     	# the recharging rate of ECV 



# customer demend
param m :=
N0 0
C1 7
C2 12
C3 7
C4 3
C5 6
C6 26
C7 13
C8 18
C9 15
C10 2
F11 0
F12 0
F13 0
F14 0
F15 0
F11_1 0
F11_2 0
F11_3 0
F11_4 0
F12_1 0
F12_2 0
F12_3 0
F12_4 0
F13_1 0
F13_2 0
F13_3 0
F13_4 0
F14_1 0
F14_2 0
F14_3 0
F14_4 0
F15_1 0
F15_2 0
F15_3 0
F15_4 0
Nσ 0;

param e :=
N0 0
C1 436
C2 206
C3 0
C4 384
C5 162
C6 0
C7 0
C8 0
C9 0
C10 733
F11 0
F12 0
F13 0
F14 0
F15 0
F11_1 0
F11_2 0
F11_3 0
F11_4 0
F12_1 0
F12_2 0
F12_3 0
F12_4 0
F13_1 0
F13_2 0
F13_3 0
F13_4 0
F14_1 0
F14_2 0
F14_3 0
F14_4 0
F15_1 0
F15_2 0
F15_3 0
F15_4 0
Nσ 0;

param l :=
N0 1000
C1 511
C2 325
C3 966
C4 499
C5 293
C6 969
C7 964
C8 962
C9 950
C10 870
F11 1000
F12 1000
F13 1000
F14 1000
F15 1000
F11_1 1000
F11_2 1000
F11_3 1000
F11_4 1000
F12_1 1000
F12_2 1000
F12_3 1000
F12_4 1000
F13_1 1000
F13_2 1000
F13_3 1000
F13_4 1000
F14_1 1000
F14_2 1000
F14_3 1000
F14_4 1000
F15_1 1000
F15_2 1000
F15_3 1000
F15_4 1000
Nσ 1000;

param s :=
N0 0
C1 10
C2 10
C3 10
C4 10
C5 10
C6 10
C7 10
C8 10
C9 10
C10 10
F11 0
F12 0
F13 0
F14 0
F15 0
F11_1 0
F11_2 0
F11_3 0
F11_4 0
F12_1 0
F12_2 0
F12_3 0
F12_4 0
F13_1 0
F13_2 0
F13_3 0
F13_4 0
F14_1 0
F14_2 0
F14_3 0
F14_4 0
F15_1 0
F15_2 0
F15_3 0
F15_4 0
Nσ 0;

param d : N0 C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 F11 F12 F13 F14 F15 F11_1 F11_2 F11_3 F11_4 F12_1 F12_2 F12_3 F12_4 F13_1 F13_2 F13_3 F13_4 F14_1 F14_2 F14_3 F14_4 F15_1 F15_2 F15_3 F15_4 Nσ :=
N0 0.0000 24.3311 33.5410 23.1948 31.0644 12.1655 20.6155 25.4951 27.7849 39.6611 30.4138 0.0000 40.0000 30.0167 21.1896 19.1050 0.0000 0.0000 0.0000 0.0000 40.0000 40.0000 40.0000 40.0000 30.0167 30.0167 30.0167 30.0167 21.1896 21.1896 21.1896 21.1896 19.1050 19.1050 19.1050 19.1050 0.0000
C1 24.3311 0.0000 35.1710 28.3196 54.2310 30.5287 4.1231 7.0711 42.9418 59.0339 6.0828 24.3311 60.0000 31.3209 11.7047 13.4536 24.3311 24.3311 24.3311 24.3311 60.0000 60.0000 60.0000 60.0000 31.3209 31.3209 31.3209 31.3209 11.7047 11.7047 11.7047 11.7047 13.4536 13.4536 13.4536 13.4536 24.3311
C2 33.5410 35.1710 0.0000 54.3415 43.0116 24.7588 35.3553 41.7732 61.2944 37.1214 38.0789 33.5410 39.0512 4.0000 23.5372 43.0116 33.5410 33.5410 33.5410 33.5410 39.0512 39.0512 39.0512 39.0512 4.0000 4.0000 4.0000 4.0000 23.5372 23.5372 23.5372 23.5372 43.0116 43.0116 43.0116 43.0116 33.5410
C3 23.1948 28.3196 54.3415 0.0000 49.4065 35.3553 24.7588 23.3238 17.0294 61.3270 32.4500 23.1948 61.2699 50.4480 34.4819 14.8661 23.1948 23.1948 23.1948 23.1948 61.2699 61.2699 61.2699 61.2699 50.4480 50.4480 50.4480 50.4480 34.4819 34.4819 34.4819 34.4819 14.8661 14.8661 14.8661 14.8661 23.1948
C4 31.0644 54.2310 43.0116 49.4065 0.0000 24.5153 50.9902 56.4358 42.7200 16.4924 60.1664 31.0644 15.1327 41.9762 47.0744 50.0000 31.0644 31.0644 31.0644 31.0644 15.1327 15.1327 15.1327 15.1327 41.9762 41.9762 41.9762 41.9762 47.0744 47.0744 47.0744 47.0744 50.0000 50.0000 50.0000 50.0000 31.0644
C5 12.1655 30.5287 24.7588 35.3553 24.5153 0.0000 27.8029 33.9706 37.9473 29.0000 36.2353 12.1655 29.7321 22.0227 22.5610 29.6816 12.1655 12.1655 12.1655 12.1655 29.7321 29.7321 29.7321 29.7321 22.0227 22.0227 22.0227 22.0227 22.5610 22.5610 22.5610 22.5610 29.6816 29.6816 29.6816 29.6816 12.1655
C6 20.6155 4.1231 35.3553 24.7588 50.9902 27.8029 0.0000 6.7082 38.9487 56.6392 10.0000 20.6155 57.4891 31.4006 12.0000 10.0000 20.6155 20.6155 20.6155 20.6155 57.4891 57.4891 57.4891 57.4891 31.4006 31.4006 31.4006 31.4006 12.0000 12.0000 12.0000 12.0000 10.0000 10.0000 10.0000 10.0000 20.6155
