Gurobi 12.0.1:   lim:time = 28800
  tech:threads = 2
  mip:bestbound = 1
Set parameter LogToConsole to value 1
  tech:outlev = 1
Set parameter InfUnbdInfo to value 1
Gurobi Optimizer version 12.0.1 build v12.0.1rc0 (win64 - Windows 11.0 (22631.2))

CPU model: Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 8 physical cores, 16 logical processors, using up to 2 threads

Non-default parameters:
TimeLimit  28800
InfUnbdInfo  1
Threads  2

Optimize a model with 35526 rows, 12575 columns and 140216 nonzeros
Model fingerprint: 0x3b0376dc
Model has 9240 quadratic objective terms
Model has 9240 quadratic constraints
Variable types: 501 continuous, 12074 integer (0 binary)
Coefficient statistics:
  Matrix range     [1e+00, 4e+03]
  QMatrix range    [1e+00, 7e+00]
  QLMatrix range   [1e+00, 4e+03]
  Objective range  [1e+01, 1e+03]
  QObjective range [2e+02, 5e+03]
  Bounds range     [1e+00, 3e+03]
  RHS range        [1e+00, 3e+03]
  QRHS range       [4e+03, 4e+03]
Presolve added 9141 rows and 176 columns
Presolve time: 1.35s
Presolved: 54411 rows, 22243 columns, 286635 nonzeros
Presolved model has 168 SOS constraint(s)
Variable types: 831 continuous, 21412 integer (21199 binary)
Found heuristic solution: objective 20120.904000
Found heuristic solution: objective 19425.189000

Deterministic concurrent LP optimizer: primal and dual simplex
Showing primal log only...

Concurrent spin time: 0.02s

Solved with dual simplex

Root relaxation: objective 2.874043e+03, 267 iterations, 0.45 seconds (0.27 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 2874.04300    0   34 19425.1890 2874.04300  85.2%     -    4s
H    0     0                    11984.785000 2874.04300  76.0%     -    4s
H    0     0                    11623.835000 2874.04300  75.3%     -    4s
H    0     0                    8437.3200000 2874.04300  65.9%     -    5s
     0     0 2874.04300    0   83 8437.32000 2874.04300  65.9%     -    6s
H    0     0                    8409.6760000 2874.04300  65.8%     -    7s
     0     0 2874.04300    0   86 8409.67600 2874.04300  65.8%     -    8s
     0     0 2874.04300    0   35 8409.67600 2874.04300  65.8%     -    9s
     0     0 2874.04300    0   48 8409.67600 2874.04300  65.8%     -    9s
     0     0 2874.04300    0   43 8409.67600 2874.04300  65.8%     -   10s
     0     0 2874.04300    0   56 8409.67600 2874.04300  65.8%     -   10s
     0     0 2874.04300    0   43 8409.67600 2874.04300  65.8%     -   11s
     0     0 2874.04300    0   43 8409.67600 2874.04300  65.8%     -   12s
     0     2 2874.04300    0   38 8409.67600 2874.04300  65.8%     -   20s
    24    32 2875.57500   10   42 8409.67600 2874.04300  65.8%  57.0   25s
H   55    63                    8406.1540000 2874.04300  65.8%  41.5   27s
H   62    63                    8332.0600000 2874.04300  65.5%  37.9   27s
    92    94 3093.99591   50   45 8332.06000 2874.04300  65.5%  30.6   30s
H   96    98                    7693.5140000 2874.04300  62.6%  29.4   32s
   108   106 3491.39338   56   45 7693.51400 2874.04300  62.6%  27.7   35s
   250   258 4273.36738  107   45 7693.51400 2874.04300  62.6%  21.4   40s
   677   650 infeasible  282      7693.51400 2874.04300  62.6%  19.8   45s
   794   723 3442.76000   47 10622 7693.51400 2874.04300  62.6%  19.8   52s
   796   724 2886.25669    7   35 7693.51400 2874.04300  62.6%  19.8   62s
H  796   687                    7157.8550000 2874.04300  59.8%  19.8   63s
   797   688 2908.16300   24   68 7157.85500 2874.04300  59.8%  19.7   65s
   802   691 4492.56614  165   61 7157.85500 2874.04300  59.8%  19.6   70s
   808   695 5744.94600  205   69 7157.85500 2874.04300  59.8%  19.5   75s
   813   699 5037.17500  229   43 7157.85500 2874.04300  59.8%  19.4   80s
   816   701 6328.38859  286   42 7157.85500 2874.04300  59.8%  19.3   85s
   817   701 6500.86220  291   42 7157.85500 2874.04300  59.8%  19.3   96s
   822   714 2874.04300   16   43 7157.85500 2874.04300  59.8%  32.8  100s
   840   724 2954.81617   22   57 7157.85500 2874.04300  59.8%  32.9  106s
   848   725 3037.88960   25   52 7157.85500 2874.04300  59.8%  33.1  111s
   850   726 3294.85300   25   52 7157.85500 2874.04300  59.8%  33.1  115s
   852   731 3076.72316   26   56 7157.85500 2874.04300  59.8%  33.1  120s
   857   742 3086.60208   27   64 7157.85500 2874.04300  59.8%  33.2  126s
   870   751 3355.90063   32   59 7157.85500 2874.04300  59.8%  33.2  133s
   883   755 3367.56000   36   59 7157.85500 2874.04300  59.8%  33.8  140s
   892   762 3367.56000   38   57 7157.85500 2874.04300  59.8%  33.8  147s
   902   769 3367.56000   41   55 7157.85500 2874.04300  59.8%  34.1  154s
   912   775 3367.56000   43   49 7157.85500 2874.04300  59.8%  34.8  161s
   921   782 3421.47291   45   49 7157.85500 2874.04300  59.8%  35.0  170s
   931   782 3383.25655   47   57 7157.85500 2874.04300  59.8%  35.0  176s
H  935   748                    6601.3810000 2874.04300  56.5%  34.9  181s
   937   757 3411.32202   49   53 6601.38100 2874.04300  56.5%  35.0  190s
H  947   722                    6499.0680000 2874.04300  55.8%  35.0  195s
