#definition

# set
set V := C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 
C16 C17 C18 C19 C20 C21 C22 C23 C24 C25 ; 	# customer set
set F := F26 F27 F28 F29 F30 
F31 F32 F33 F34 F35
F36 F37 F38 F39 F40
F41 F42 F43 F44 F45 F46
F26_1 F26_2 F26_3  
F27_1 F27_2 F27_3 
F28_1 F28_2 F28_3 
F29_1 F29_2 F29_3 
F30_1 F30_2 F30_3 
F31_1 F31_2 F31_3 
F32_1 F32_2 F32_3 
F33_1 F33_2 F33_3 
F34_1 F34_2 F34_3 
F35_1 F35_2 F35_3 
F36_1 F36_2 F36_3 
F37_1 F37_2 F37_3 
F38_1 F38_2 F38_3 
F39_1 F39_2 F39_3 
F40_1 F40_2 F40_3 
F41_1 F41_2 F41_3 
F42_1 F42_2 F42_3 
F43_1 F43_2 F43_3 
F44_1 F44_2 F44_3 
F45_1 F45_2 F45_3 
F46_1 F46_2 F46_3  ;#recharging & battery swapping station
set D0 :=N0;
set Dσ :=Nσ;


# param
param CV := 50;    		# ECV fixed cost(Topic Given)
param C := 200;   		# ECV max load
param Q := 64.06; 		# ECV/BSV battery level
param h := 1;     		# ECV consumption

param CB := 60;    		# BSV fixed cost(Topic Given)
param Qplun := 5;       # BSV max load(battery)
param hplun := 1;     	# BSV consumption
param W := 128.12;		# BSV battery level

param Cde := 1;    		# ECV cost per unit distance
param Cdb := 1;    		# BSV cost per unit distance
param lamda := 3.00;	# battery swap time
param Cb :=8 ;  	    # battery swap cost(BSS/BSV)
param n :=25;	   		# number of customers
param g := 1.41 ;     	# the recharging rate of ECV 



# customer demend
param m :=
N0 0
C1 9
C2 8
C3 1
C4 18
C5 3
C6 6
C7 3
C8 25
C9 16
C10 26
C11 16
C12 8
C13 27
C14 15
C15 1
C16 30
C17 6
C18 41
C19 9
C20 23
C21 15
C22 9
C23 36
C24 25
C25 26
F26 0
F27 0
F28 0
F29 0
F30 0
F31 0
F32 0
F33 0
F34 0
F35 0
F36 0
F37 0
F38 0
F39 0
F40 0
F41 0
F42 0
F43 0
F44 0
F45 0
F46 0
F26_1 0
F26_2 0
F26_3 0
F27_1 0
F27_2 0
F27_3 0
F28_1 0
F28_2 0
F28_3 0
F29_1 0
F29_2 0
F29_3 0
F30_1 0
F30_2 0
F30_3 0
F31_1 0
F31_2 0
F31_3 0
F32_1 0
F32_2 0
F32_3 0
F33_1 0
F33_2 0
F33_3 0
F34_1 0
F34_2 0
F34_3 0
F35_1 0
F35_2 0
F35_3 0
F36_1 0
F36_2 0
F36_3 0
F37_1 0
F37_2 0
F37_3 0
F38_1 0
F38_2 0
F38_3 0
F39_1 0
F39_2 0
F39_3 0
F40_1 0
F40_2 0
F40_3 0
F41_1 0
F41_2 0
F41_3 0
F42_1 0
F42_2 0
F42_3 0
F43_1 0
F43_2 0
F43_3 0
F44_1 0
F44_2 0
F44_3 0
F45_1 0
F45_2 0
F45_3 0
F46_1 0
F46_2 0
F46_3 0
Nσ 0;

param e :=
N0 0
C1 73
C2 0
C3 0
C4 0
C5 0
C6 40
C7 0
C8 0
C9 0
C10 0
C11 0
C12 51
C13 0
C14 0
C15 0
C16 0
C17 0
C18 0
C19 0
C20 149
C21 0
C22 0
C23 0
C24 73
C25 0
F26 0
F27 0
F28 0
F29 0
F30 0
F31 0
F32 0
F33 0
F34 0
F35 0
F36 0
F37 0
F38 0
F39 0
F40 0
F41 0
F42 0
F43 0
F44 0
F45 0
F46 0
F26_1 0
F26_2 0
F26_3 0
F27_1 0
F27_2 0
F27_3 0
F28_1 0
F28_2 0
F28_3 0
F29_1 0
F29_2 0
F29_3 0
F30_1 0
F30_2 0
F30_3 0
F31_1 0
F31_2 0
F31_3 0
F32_1 0
F32_2 0
F32_3 0
F33_1 0
F33_2 0
F33_3 0
F34_1 0
F34_2 0
F34_3 0
F35_1 0
F35_2 0
F35_3 0
F36_1 0
F36_2 0
F36_3 0
F37_1 0
F37_2 0
F37_3 0
F38_1 0
F38_2 0
F38_3 0
F39_1 0
F39_2 0
F39_3 0
F40_1 0
F40_2 0
F40_3 0
F41_1 0
F41_2 0
F41_3 0
F42_1 0
F42_2 0
F42_3 0
F43_1 0
F43_2 0
F43_3 0
F44_1 0
F44_2 0
F44_3 0
F45_1 0
F45_2 0
F45_3 0
F46_1 0
F46_2 0
F46_3 0
Nσ 0;

param l :=
N0 230
C1 103
C2 178
C3 194
C4 197
C5 190
C6 70
C7 187
C8 197
C9 194
C10 192
C11 215
C12 81
C13 185
C14 211
C15 184
C16 176
C17 190
C18 196
C19 208
C20 179
C21 180
C22 190
C23 192
C24 103
C25 199
F26 230
F27 230
F28 230
F29 230
F30 230
F31 230
F32 230
F33 230
F34 230
F35 230
F36 230
F37 230
F38 230
F39 230
F40 230
F41 230
F42 230
F43 230
F44 230
F45 230
F46 230
F26_1 230
F26_2 230
F26_3 230
F27_1 230
F27_2 230
F27_3 230
F28_1 230
F28_2 230
F28_3 230
F29_1 230
F29_2 230
F29_3 230
F30_1 230
F30_2 230
F30_3 230
F31_1 230
F31_2 230
F31_3 230
F32_1 230
F32_2 230
F32_3 230
F33_1 230
F33_2 230
F33_3 230
F34_1 230
F34_2 230
F34_3 230
F35_1 230
F35_2 230
F35_3 230
F36_1 230
F36_2 230
F36_3 230
F37_1 230
F37_2 230
F37_3 230
F38_1 230
F38_2 230
F38_3 230
F39_1 230
F39_2 230
F39_3 230
F40_1 230
F40_2 230
F40_3 230
F41_1 230
F41_2 230
F41_3 230
F42_1 230
F42_2 230
F42_3 230
F43_1 230
F43_2 230
F43_3 230
F44_1 230
F44_2 230
F44_3 230
F45_1 230
F45_2 230
F45_3 230
F46_1 230
F46_2 230
F46_3 230
Nσ 230;

param s :=
N0 0
C1 10
C2 10
C3 10
C4 10
C5 10
C6 10
C7 10
C8 10
C9 10
C10 10
C11 10
C12 10
C13 10
C14 10
C15 10
C16 10
C17 10
C18 10
C19 10
C20 10
C21 10
C22 10
C23 10
C24 10
C25 10
F26 0
F27 0
F28 0
F29 0
F30 0
F31 0
F32 0
F33 0
F34 0
F35 0
F36 0
F37 0
F38 0
F39 0
F40 0
F41 0
F42 0
F43 0
F44 0
F45 0
F46 0
F26_1 0
F26_2 0
F26_3 0
F27_1 0
F27_2 0
F27_3 0
F28_1 0
F28_2 0
F28_3 0
F29_1 0
F29_2 0
F29_3 0
F30_1 0
F30_2 0
F30_3 0
F31_1 0
F31_2 0
F31_3 0
F32_1 0
F32_2 0
F32_3 0
F33_1 0
F33_2 0
F33_3 0
F34_1 0
F34_2 0
F34_3 0
F35_1 0
F35_2 0
F35_3 0
F36_1 0
F36_2 0
F36_3 0
F37_1 0
F37_2 0
F37_3 0
F38_1 0
F38_2 0
F38_3 0
F39_1 0
F39_2 0
F39_3 0
F40_1 0
F40_2 0
F40_3 0
F41_1 0
F41_2 0
F41_3 0
F42_1 0
F42_2 0
F42_3 0
F43_1 0
F43_2 0
F43_3 0
F44_1 0
F44_2 0
F44_3 0
F45_1 0
F45_2 0
F45_3 0
F46_1 0
F46_2 0
F46_3 0
Nσ 0;

param d : N0 C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 C17 C18 C19 C20 C21 C22 C23 C24 C25 F26 F27 F28 F29 F30 F31 F32 F33 F34 F35 F36 F37 F38 F39 F40 F41 F42 F43 F44 F45 F46 F26_1 F26_2 F26_3 F27_1 F27_2 F27_3 F28_1 F28_2 F28_3 F29_1 F29_2 F29_3 F30_1 F30_2 F30_3 F31_1 F31_2 F31_3 F32_1 F32_2 F32_3 F33_1 F33_2 F33_3 F34_1 F34_2 F34_3 F35_1 F35_2 F35_3 F36_1 F36_2 F36_3 F37_1 F37_2 F37_3 F38_1 F38_2 F38_3 F39_1 F39_2 F39_3 F40_1 F40_2 F40_3 F41_1 F41_2 F41_3 F42_1 F42_2 F42_3 F43_1 F43_2 F43_3 F44_1 F44_2 F44_3 F45_1 F45_2 F45_3 F46_1 F46_2 F46_3 Nσ :=
N0 0.0000 17.4929 41.0366 25.6125 22.8035 30.0000 12.1655 32.2490 22.4722 25.4951 27.5862 5.0000 30.4138 34.2053 9.0000 35.4683 43.9318 29.2062 23.0217 11.1803 11.1803 39.6611 29.8329 27.8029 43.8634 20.6155 0.0000 26.0768 39.2046 25.0599 37.2022 24.7386 36.0139 26.4197 38.2099 18.0278 30.2655 25.8070 36.1386 14.8661 30.3645 15.0333 30.5941 30.0167 33.4215 30.4138 39.3192 0.0000 0.0000 0.0000 26.0768 26.0768 26.0768 39.2046 39.2046 39.2046 25.0599 25.0599 25.0599 37.2022 37.2022 37.2022 24.7386 24.7386 24.7386 36.0139 36.0139 36.0139 26.4197 26.4197 26.4197 38.2099 38.2099 38.2099 18.0278 18.0278 18.0278 30.2655 30.2655 30.2655 25.8070 25.8070 25.8070 36.1386 36.1386 36.1386 14.8661 14.8661 14.8661 30.3645 30.3645 30.3645 15.0333 15.0333 15.0333 30.5941 30.5941 30.5941 30.0167 30.0167 30.0167 33.4215 33.4215 33.4215 30.4138 30.4138 30.4138 39.3192 39.3192 39.3192 0.0000
C1 17.4929 0.0000 58.0517 8.6023 37.1214 45.8912 27.0185 42.4500 28.7924 35.4401 44.8219 20.5183 23.2594 32.3110 10.8167 28.4253 44.2719 35.8469 5.6569 20.0250 10.0499 55.9732 46.8188 26.9258 51.4782 6.4031 17.4929 42.4500 55.5428 41.1096 53.7587 34.2053 47.1275 32.0624 37.3363 15.1327 19.8494 8.4853 20.0000 4.1231 20.8806 15.2315 29.6985 34.4819 42.7200 42.2966 54.1479 17.4929 17.4929 17.4929 42.4500 42.4500 42.4500 55.5428 55.5428 55.5428 41.1096 41.1096 41.1096 53.7587 53.7587 53.7587 34.2053 34.2053 34.2053 47.1275 47.1275 47.1275 32.0624 32.0624 32.0624 37.3363 37.3363 37.3363 15.1327 15.1327 15.1327 19.8494 19.8494 19.8494 8.4853 8.4853 8.4853 20.0000 20.0000 20.0000 4.1231 4.1231 4.1231 20.8806 20.8806 20.8806 15.2315 15.2315 15.2315 29.6985 29.6985 29.6985 34.4819 34.4819 34.4819 42.7200 42.7200 42.7200 42.2966 42.2966 42.2966 54.1479 54.1479 54.1479 17.4929
C2 41.0366 58.0517 0.0000 66.4831 36.4966 30.0666 31.6228 32.0624 51.5461 33.3766 13.6015 37.5366 68.4763 55.7315 47.6340 63.3246 57.0789 53.9351 63.7024 46.1411 51.8556 6.7082 23.0217 51.6624 60.1332 59.4054 41.0366 28.0713 28.2312 17.8885 6.0000 34.5254 29.6142 41.5933 56.1427 51.0000 63.5610 66.5282 74.0945 55.8659 69.6419 53.5350 63.9062 57.4891 51.0392 44.0114 36.6879 41.0366 41.0366 41.0366 28.0713 28.0713 28.0713 28.2312 28.2312 28.2312 17.8885 17.8885 17.8885 6.0000 6.0000 6.0000 34.5254 34.5254 34.5254 29.6142 29.6142 29.6142 41.5933 41.5933 41.5933 56.1427 56.1427 56.1427 51.0000 51.0000 51.0000 63.5610 63.5610 63.5610 66.5282 66.5282 66.5282 74.0945 74.0945 74.0945 55.8659 55.8659 55.8659 69.6419 69.6419 69.6419 53.5350 53.5350 53.5350 63.9062 63.9062 63.9062 57.4891 57.4891 57.4891 51.0392 51.0392 51.0392 44.0114 44.0114 44.0114 36.6879 36.6879 36.6879 41.0366
